id,siren,name,brand_name,description,address,city,postal_code,country,phone,website,logo,siret,ceo_name,ape,founded_date,turnover_2022,gouv_searched,gouv_street,gouv_city,gouv_postal_code,gouv_country,gouv_lat,gouv_lng
149,553750407,COSTAMAGNA DISTRIBUTION,COSTAMAGNA DISTRIBUTION,,7 BOULEVARD CARABACEL,Nice,06000,,,,,55375040700080,Anne COSTAMAGNA,4673A,1900-01-01,82718600.0,1,Boulevard Carabacel,Nice,06000,,43.702963,7.277931
339,399877257,CQFD- AMOS,CQFD,,33 RUE DAVIEL,PARIS,75013,,,,,39987725700044,Patrick TOUATI,8559A,1995-01-20,8000000.0,1,Rue Daviel,Paris,75013,,48.828278,2.343673
202,330792987,CREATIONS FUSALP,FUSALP LYON,,114 AVENUE DE FRANCE,ANNECY,74000,,,,,33079298700027,Alexandre FAUVET,4771Z,1984-08-01,36008129.0,1,Avenue de France,Annecy,74000,,45.922475,6.130232
473,302306592,CRENO-IMPEX,CRENO-IMPEX,,1 AVENUE SAN FERNANDO,CHÂTEAURENARD,78180,,,,,30230659200148,Françe AME,4631Z,1984-12-04,,0,,,,,,
333,393135298,CS GROUP - France,CS SI,,22 AVENUE GALILEE,LE PLESSIS-ROBINSON,92350,,,,,39313529800502,Fernand PASQUIER,6202A,1993-11-23,196624000.0,1,Avenue Galilee,Le Plessis-Robinson,92350,,48.773662,2.244743
468,300163896,DE SANGOSSE,DE SANGOSSE,,193 CHEMIN DE LA FAUCEILLE,PONT-DU-CASSE,66100,,,,,30016389600016,Nicolas FILLON,4675Z,1988-12-25,,0,,,,,,
299,344307384,DHL GLOBAL FORWARDING (FRANCE) SAS,DGF,,22 AVENUE DES NATIONS,VILLEPINTE,93420,,,,,34430738400778,Laurent TERREYRE,5229B,1988-01-21,814599203.0,1,Avenue des Nations,Villepinte,93420,,48.97341,2.508361
325,382837268,DIESEL France,DIESEL,,42 AVENUE D IENA,PARIS,75116,,,,,38283726800392,Renzo ROSSO,4771Z,1991-08-01,15520538.0,1,Avenue d'Iéna,Paris,75016,,48.86665,2.295326
130,421863747,ECLAIR SERVICE KEREN,AECLAIR SERVICE,,31 RUE BOTTERO,NICE,06000,,,,,42186374700026,Jean HALIMI,4321A,1999-01-01,180000.0,1,Rue Bottéro,Nice,06000,,43.696342,7.251992
289,338302383,ECOTEC,ECOLE INTERNATIONALE TUNON- TUNON - WIN - CAP VERS,,164 RUE DU FAUBOURG SAINT HONORE,PARIS,75008,,,,,33830238300041,EDUSERVICES,8542Z,1986-05-01,14236198.0,1,Rue du Faubourg Saint-Honoré,Paris,75008,,48.873504,2.309341
201,330730771,EES - CS EIFFAGE ENERGIE SYSTEMES - CLEMESSY SERVICES,EIFFEL INDUSTRIE AQUITAINE,,3 PLACE DE L EUROPE,VÉLIZY-VILLACOUBLAY,78140,,,,,33073077100590,Nicolas ANDRIVON,3320A,1984-07-23,212326578.0,1,Place de l’Europe,Vélizy-Villacoublay,78140,,48.779059,2.205397
319,353286065,EIFFAGE CONSTRUCTION SUD-EST,EIFFAGE CONSTRUCTION SUD-EST,,7 RUE DU DEVOIR,MARSEILLE,13015,,,,,35328606500084,EIFFAGE CONSTRUCTION,4120B,1989-11-20,228524966.0,1,Rue du devoir,Marseille,13015,,43.323649,5.365416
348,413901760,ELIOR ENTREPRISE,263434,,9 ALLEE DE L ARCHE,COURBEVOIE,92400,,,,,41390176026595,Jean-yves FONTAINE,5629B,1997-09-26,442081804.0,1,Allee de l’Arche,Courbevoie,92400,,48.895177,2.237913
486,305390585,ENTREPRISE DELDOSSI,ENTREPRISE DELDOSSI,,1 RUE BRINDEJONC DES MOULINAIS,SAINT-SULPICE-LA-POINTE,31500,,,,,30539058500019,Alain DELDOSSI,4730Z,1976-01-01,,0,,,,,,
290,338375454,ERIC BOMPARD,ERIC BOMPARD,,4 RUE LONGCHAMP,Nice,06000,,,,,33837545400216,Ludovic MOSNIER,4771Z,2000-09-01,65336708.0,1,Rue Longchamp,Nice,06000,,43.69884,7.267315
305,348006446,ERNST ET YOUNG ADVISORY,ERNST & YOUNG ADVISORY ,,1 PLACE DES SAISONS,COURBEVOIE,92400,,,,,34800644600234,Bertrand BARET,7022Z,1988-06-16,462236781.0,1,Place des Saisons,Courbevoie,92400,,48.889153,2.251671
